LGA_name,LGA_rate,offence_count,offence_subdiv,year
Hobsons Bay,1.050497411,1,B50 Deception,2020
Hobsons Bay,5.252487053,5,D20 Disorderly and offensive conduct,2020
Hobsons Bay,4.201989642,4,E10 Justice procedures,2020
Hobsons Bay,2.100994821,2,E10 Justice procedures,2020
Hobsons Bay,23.110943032,22,F20 Transport regulation offences,2020
Hobsons Bay,3.151492232,3,F30 Other government regulatory offences,2020
Hobsons Bay,531.551689725,506,F90 Miscellaneous offences,2020
Hobsons Bay,1.050497411,1,F90 Miscellaneous offences,2020
Moonee Valley,80.814917713,102,A20 Assault and related offences,2023
Moonee Valley,38.030549512,48,A20 Assault and related offences,2023
Moonee Valley,149.745288703,189,A20 Assault and related offences,2023
Moonee Valley,110.922436076,140,A30 Sexual offences,2023
Moonee Valley,0.792303115,1,A40 Abduction and related offences,2023
Moonee Valley,34.069033938,43,"A70 Stalking, harassment and threatening behaviour",2023
Moonee Valley,16.638365411,21,A80 Dangerous and negligent acts endangering people,2023
Moonee Valley,30.899821478,39,A80 Dangerous and negligent acts endangering people,2023
Moonee Valley,25.353699675,32,B10 Arson,2023
Moonee Valley,462.705019061,584,B20 Property damage,2023
Moonee Valley,0.792303115,1,B30 Burglary/Break and enter,2023
Moonee Valley,942.840706648,1190,B40 Theft,2023
Moonee Valley,167.175957229,211,B40 Theft,2023
Moonee Valley,3.169212459,4,B40 Theft,2023
Moonee Valley,671.080738261,847,B40 Theft,2023
Moonee Valley,13.469152952,17,C20 Cultivate or manufacture drugs,2023
Moonee Valley,225.014084612,284,C30 Drug use and possession,2023
Moonee Valley,18.222971641,23,D20 Disorderly and offensive conduct,2023
Moonee Valley,2.376909344,3,D20 Disorderly and offensive conduct,2023
Moonee Valley,8.715334263,11,D30 Public nuisance offences,2023
Moonee Valley,0.792303115,1,D30 Public nuisance offences,2023
Moonee Valley,6.338424919,8,E10 Justice procedures,2023
Moonee Valley,19.807577871,25,E10 Justice procedures,2023
Moonee Valley,43.576671316,55,E20 Breaches of orders,2023
Moonee Valley,7.923031148,10,E20 Breaches of orders,2023
Moonee Valley,95.092573026,117,A20 Assault and related offences,2022
Moonee Valley,2.438271103,3,A40 Abduction and related offences,2022
Moonee Valley,25.195468067,31,A50 Robbery,2022
Moonee Valley,4.063785172,5,A60 Blackmail and extortion,2022
Moonee Valley,41.450608755,51,"A70 Stalking, harassment and threatening behaviour",2022
Moonee Valley,17.880654757,22,A80 Dangerous and negligent acts endangering people,2022
Moonee Valley,0.812757034,1,B10 Arson,2022
Moonee Valley,1.625514069,2,B10 Arson,2022
Moonee Valley,29.259253239,36,B30 Burglary/Break and enter,2022
Moonee Valley,1.625514069,2,B30 Burglary/Break and enter,2022
Moonee Valley,0.812757034,1,B30 Burglary/Break and enter,2022
Moonee Valley,1.625514069,2,B30 Burglary/Break and enter,2022
Moonee Valley,442.952583755,545,B40 Theft,2022
Moonee Valley,236.512297014,291,B40 Theft,2022
Moonee Valley,0.812757034,1,B50 Deception,2022
Moonee Valley,55.26747834,68,C10 Drug dealing and trafficking,2022
Moonee Valley,9.753084413,12,C20 Cultivate or manufacture drugs,2022
Moonee Valley,0.812757034,1,C90 Other drug offences,2022
Moonee Valley,17.880654757,22,D20 Disorderly and offensive conduct,2022
Moonee Valley,19.506168826,24,D20 Disorderly and offensive conduct,2022
Moonee Valley,56.080235374,69,D30 Public nuisance offences,2022
Moonee Valley,94.279815992,116,E10 Justice procedures,2022
Moonee Valley,6.502056275,8,E10 Justice procedures,2022
Moonee Valley,4.876542206,6,E20 Breaches of orders,2022
Moonee Valley,0.812757034,1,F30 Other government regulatory offences,2022
Moonee Valley,0.812757034,1,F90 Miscellaneous offences,2022
Moonee Valley,156.161041074,192,A20 Assault and related offences,2021
Moonee Valley,5.693371289,7,A40 Abduction and related offences,2021
Moonee Valley,1.626677511,2,A60 Blackmail and extortion,2021
Moonee Valley,26.840178935,33,"A70 Stalking, harassment and threatening behaviour",2021
Moonee Valley,8.946726312,11,A80 Dangerous and negligent acts endangering people,2021
Moonee Valley,17.080113867,21,B10 Arson,2021
Moonee Valley,422.122814152,519,B20 Property damage,2021
Moonee Valley,1.626677511,2,B30 Burglary/Break and enter,2021
Moonee Valley,1093.940626271,1345,B40 Theft,2021
Moonee Valley,214.721431476,264,B40 Theft,2021
Moonee Valley,21.146807645,26,B50 Deception,2021
Moonee Valley,5.693371289,7,C20 Cultivate or manufacture drugs,2021
Moonee Valley,12.200081334,15,C20 Cultivate or manufacture drugs,2021
Moonee Valley,108.987393249,134,D10 Weapons and explosives offences,2021
Moonee Valley,66.693777959,82,D30 Public nuisance offences,2021
Moonee Valley,4.066693778,5,E10 Justice procedures,2021
Moonee Valley,17.893452623,22,E10 Justice procedures,2021
Moonee Valley,533.550223668,656,E20 Breaches of orders,2021
Moonee Valley,59.373729158,73,E20 Breaches of orders,2021
Moonee Valley,0.813338756,1,F20 Transport regulation offences,2021
Moonee Valley,0.813338756,1,F30 Other government regulatory offences,2021
Moonee Valley,0.813338756,1,F30 Other government regulatory offences,2021
Moonee Valley,143.147620984,176,F90 Miscellaneous offences,2021
Moonee Valley,1.577461234,2,A10 Homicide and related offences,2020
Moonee Valley,57.577335037,73,A20 Assault and related offences,2020
Moonee Valley,7.887306169,10,A50 Robbery,2020
Moonee Valley,2.366191851,3,A60 Blackmail and extortion,2020
Moonee Valley,21.295726658,27,"A70 Stalking, harassment and threatening behaviour",2020
Moonee Valley,11.830959254,15,"A70 Stalking, harassment and threatening behaviour",2020
Moonee Valley,33.915416529,43,"A70 Stalking, harassment and threatening behaviour",2020
Moonee Valley,10.25349802,13,B20 Property damage,2020
Moonee Valley,121.46451501,154,B30 Burglary/Break and enter,2020
Moonee Valley,332.844320351,422,B40 Theft,2020
Moonee Valley,45.746375783,58,B50 Deception,2020
Moonee Valley,10.25349802,13,C20 Cultivate or manufacture drugs,2020
Moonee Valley,6.309844936,8,D20 Disorderly and offensive conduct,2020
Moonee Valley,1.577461234,2,D20 Disorderly and offensive conduct,2020
Moonee Valley,39.436530847,50,D30 Public nuisance offences,2020
Moonee Valley,0.788730617,1,D30 Public nuisance offences,2020
Moonee Valley,7.887306169,10,E10 Justice procedures,2020
Moonee Valley,83.605445396,106,E20 Breaches of orders,2020
Moonee Valley,3.943653085,5,F30 Other government regulatory offences,2020
Moonee Valley,521.350937801,661,F90 Miscellaneous offences,2020
Moonee Valley,73.684189679,93,A20 Assault and related offences,2023
Moonee Valley,144.991470014,183,A20 Assault and related offences,2023
Moonee Valley,7.923031148,10,A50 Robbery,2023
Moonee Valley,13.469152952,17,A60 Blackmail and extortion,2023
Moonee Valley,1.58460623,2,A60 Blackmail and extortion,2023
Moonee Valley,19.015274756,24,"A70 Stalking, harassment and threatening behaviour",2023
Moonee Valley,42.784368201,54,"A70 Stalking, harassment and threatening behaviour",2023
Moonee Valley,24.56139656,31,"A70 Stalking, harassment and threatening behaviour",2023
Moonee Valley,2.376909344,3,B10 Arson,2023
Moonee Valley,23.769093445,30,B20 Property damage,2023
Moonee Valley,3.961515574,5,B20 Property damage,2023
Moonee Valley,0.792303115,1,B30 Burglary/Break and enter,2023
Moonee Valley,124.391589028,157,B30 Burglary/Break and enter,2023
Moonee Valley,537.97381497,679,B40 Theft,2023
Moonee Valley,45.95358066,58,C10 Drug dealing and trafficking,2023
Moonee Valley,85.568736402,108,D10 Weapons and explosives offences,2023
Moonee Valley,20.599880986,26,D20 Disorderly and offensive conduct,2023
Moonee Valley,1.58460623,2,E10 Justice procedures,2023
Moonee Valley,102.999404928,130,E10 Justice procedures,2023
Moonee Valley,583.92739563,737,E20 Breaches of orders,2023
Moonee Valley,98.245586239,124,E20 Breaches of orders,2023
Moonee Valley,0.792303115,1,F90 Miscellaneous offences,2023
Moonee Valley,1.58460623,2,F90 Miscellaneous offences,2023
Moonee Valley,0.792303115,1,F90 Miscellaneous offences,2023
Port Phillip,10.793205958,12,A40 Abduction and related offences,2023
Port Phillip,7.195470639,8,A50 Robbery,2023
Port Phillip,43.172823832,48,"A70 Stalking, harassment and threatening behaviour",2023
Port Phillip,67.457537237,75,"A70 Stalking, harassment and threatening behaviour",2023
Port Phillip,38.675654683,43,A80 Dangerous and negligent acts endangering people,2023
Port Phillip,83.647346174,93,B30 Burglary/Break and enter,2023
Port Phillip,411.940694061,458,B30 Burglary/Break and enter,2023
Port Phillip,1851.034821784,2058,B40 Theft,2023
Port Phillip,77.351309365,86,B50 Deception,2023
Port Phillip,1.79886766,2,B50 Deception,2023
Port Phillip,0.89943383,1,B50 Deception,2023
Port Phillip,508.180113852,565,C30 Drug use and possession,2023
Port Phillip,71.954706386,80,D10 Weapons and explosives offences,2023
Port Phillip,23.385279575,26,D20 Disorderly and offensive conduct,2023
Port Phillip,53.96602979,60,D20 Disorderly and offensive conduct,2023
Port Phillip,54.865463619,61,D20 Disorderly and offensive conduct,2023
Port Phillip,167.294692348,186,E10 Justice procedures,2023
Port Phillip,5.396602979,6,E10 Justice procedures,2023
Port Phillip,6.296036809,7,E10 Justice procedures,2023
Port Phillip,578.335952579,643,E20 Breaches of orders,2023
Port Phillip,199.674310222,222,E20 Breaches of orders,2023
Moonee Valley,70.709861994,87,A20 Assault and related offences,2022
Moonee Valley,144.670752125,178,A20 Assault and related offences,2022
Moonee Valley,30.072010273,37,"A70 Stalking, harassment and threatening behaviour",2022
Moonee Valley,21.944439929,27,"A70 Stalking, harassment and threatening behaviour",2022
Moonee Valley,28.446496204,35,"A70 Stalking, harassment and threatening behaviour",2022
Moonee Valley,39.012337652,48,"A70 Stalking, harassment and threatening behaviour",2022
Moonee Valley,0.812757034,1,A80 Dangerous and negligent acts endangering people,2022
Moonee Valley,13.004112551,16,A80 Dangerous and negligent acts endangering people,2022
Moonee Valley,31.697524342,39,A80 Dangerous and negligent acts endangering people,2022
Moonee Valley,12.191355516,15,B20 Property damage,2022
Moonee Valley,116.224255921,143,B30 Burglary/Break and enter,2022
Moonee Valley,236.512297014,291,B40 Theft,2022
Moonee Valley,831.450446204,1023,B40 Theft,2022
Moonee Valley,99.156358198,122,B40 Theft,2022
Moonee Valley,42.263365789,52,B50 Deception,2022
Moonee Valley,10.565841447,13,B50 Deception,2022
Moonee Valley,2.438271103,3,C30 Drug use and possession,2022
Moonee Valley,312.098701214,384,C30 Drug use and possession,2022
Moonee Valley,17.067897723,21,D20 Disorderly and offensive conduct,2022
Moonee Valley,4.876542206,6,D30 Public nuisance offences,2022
Moonee Valley,1.625514069,2,E10 Justice procedures,2022
Moonee Valley,13.816869585,17,E10 Justice procedures,2022
Moonee Valley,499.845576163,615,E20 Breaches of orders,2022
Moonee Valley,4.876542206,6,F20 Transport regulation offences,2022
Moonee Valley,0.812757034,1,F20 Transport regulation offences,2022
Moonee Valley,2.438271103,3,F30 Other government regulatory offences,2022
Moonee Valley,2.438271103,3,F90 Miscellaneous offences,2022
Port Phillip,1.923261852,2,A10 Homicide and related offences,2022
